,year,job,gender_dominant_group,gender_prop_diff
15,1850,Architect,only male,1.0
16,1850,Artist / Art Teacher,only male,1.0
19,1850,Author,only male,1.0
21,1850,Baker,male dominant,0.9862191294856051
23,1850,Barber / Beautician,male dominant,0.9487764676049195
24,1850,Bartender,only male,1.0
25,1850,Bill Collector,only male,1.0
30,1850,Boilermaker,only male,1.0
32,1850,Bookkeeper,only male,1.0
38,1850,Cabinet Maker,male dominant,0.9947401312363295
40,1850,Carpenter,male dominant,0.9935830527242528
45,1850,Chemist,only male,1.0
47,1850,Clergyman,male dominant,0.9931560223615111
48,1850,Clerical Worker,only male,1.0
59,1850,Delivery Man,only male,1.0
61,1850,Dentist,only male,1.0
62,1850,Designer,only male,1.0
66,1850,Draftsman,only male,1.0
67,1850,Dressmaker / Seamstress,female dominant,-0.8336079077429983
70,1850,Editor / Reporter,only male,1.0
77,1850,Engineer - Civil,only male,1.0
80,1850,Engineer - Mechanical,only male,1.0
83,1850,Engraver,only male,1.0
84,1850,Entertainer,only male,1.0
86,1850,Farm Foreman,male dominant,0.98766110805693
87,1850,Farm Laborer,male dominant,0.991168953457089
89,1850,Farmer,male dominant,0.9855489773618726
90,1850,Fireman,only male,1.0
91,1850,Fisherman,only male,1.0
93,1850,Foremen,only male,1.0
96,1850,Funeral Director,only male,1.0
99,1850,Gardener / Groundskeeper,only male,1.0
102,1850,Household Worker,balanced,0.12585571353343866
106,1850,Inspector,only male,1.0
108,1850,Insurance Agent,only male,1.0
109,1850,Janitor,only male,1.0
110,1850,Jeweler,male dominant,0.9830721528534316
112,1850,Laborer,male dominant,0.9889821119649582
113,1850,Laundry / Dry Cleaning,only male,1.0
114,1850,Lawyer / Judge,only male,1.0
118,1850,Locomotive Engineer,only male,1.0
122,1850,Lumberman,only male,1.0
123,1850,Machinist,only male,1.0
124,1850,Mail Carrier,only male,1.0
125,1850,Manager / Owner,male dominant,0.9847864611022505
126,1850,Mason,only male,1.0
128,1850,Meat Cutter,only male,1.0
129,1850,Mechanic,male dominant,0.9930855069487232
135,1850,Messenger,only male,1.0
136,1850,Metal Filer,only male,1.0
138,1850,Metal Worker,only male,1.0
140,1850,Military,only male,1.0
144,1850,Miner,male dominant,0.9930927576538172
145,1850,Model Maker,only male,1.0
149,1850,Musician / Music Teacher,male dominant,0.93946658675457
150,1850,Newsboy,only male,1.0
151,1850,Nurse,female dominant,-0.75
155,1850,Operative,male dominant,0.9874634739210261
159,1850,Painter,male dominant,0.9916387267684921
164,1850,Photographer,only male,1.0
165,1850,Physician / Surgeon,only male,1.0
168,1850,Plasterer,only male,1.0
169,1850,Plumber,only male,1.0
170,1850,Policeman / Detective,only male,1.0
171,1850,Porter,only male,1.0
174,1850,Pressman,only male,1.0
176,1850,Professional - Misc,male dominant,0.9178750508198943
177,1850,Professor,only male,1.0
192,1850,Public Officials,male dominant,0.97346168856511
195,1850,Railroad Brakeman,only male,1.0
196,1850,Railroad Conductor,only male,1.0
198,1850,Real Estate Agent,only male,1.0
200,1850,Religious Worker,only female,-1.0
203,1850,Roller,only male,1.0
204,1850,Roofer,only male,1.0
205,1850,Sailor,male dominant,0.9970952387800003
206,1850,Salesman,male dominant,0.9922677460002292
207,1850,Sawyer,only male,1.0
215,1850,Security Guard,only male,1.0
217,1850,Service Worker,only male,1.0
219,1850,Sheriff / Bailiff,only male,1.0
220,1850,Ship Officers,only male,1.0
221,1850,Shipping and Receiving,only male,1.0
222,1850,Shoemaker,male dominant,0.9985507766258923
225,1850,Stationary Engineer,male dominant,0.9805862566074003
233,1850,Teacher,male dominant,0.8353949194472938
244,1850,Ticket Agent,only male,1.0
245,1850,Tool Maker,only male,1.0
246,1850,Truck / Tractor Driver,male dominant,0.9873572210921608
247,1850,Typesetter,male dominant,0.987506957758674
249,1850,Upholsterer,only male,1.0
252,1850,Waiter / Waitress,male dominant,0.9453019225561874
270,1860,Architect,only male,1.0
271,1860,Artist / Art Teacher,male dominant,0.785041748090247
274,1860,Author,balanced,0.199203187250996
276,1860,Baker,male dominant,0.9555973867788727
278,1860,Barber / Beautician,male dominant,0.9778466991581746
279,1860,Bartender,only male,1.0
280,1860,Bill Collector,only male,1.0
285,1860,Boilermaker,only male,1.0
287,1860,Bookkeeper,male dominant,0.9648938651737812
293,1860,Cabinet Maker,male dominant,0.9721572558191335
295,1860,Carpenter,male dominant,0.9941384891299593
300,1860,Chemist,only male,1.0
302,1860,Clergyman,male dominant,0.9831081081081081
303,1860,Clerical Worker,male dominant,0.9765560895557379
314,1860,Delivery Man,male dominant,0.9094612947034857
316,1860,Dentist,male dominant,0.9656357388316151
317,1860,Designer,only male,1.0
321,1860,Draftsman,only male,1.0
322,1860,Dressmaker / Seamstress,female dominant,-0.971288557513078
325,1860,Editor / Reporter,only male,1.0
332,1860,Engineer - Civil,only male,1.0
335,1860,Engineer - Mechanical,only male,1.0
338,1860,Engraver,only male,1.0
339,1860,Entertainer,only male,1.0
341,1860,Farm Foreman,male dominant,0.9750225232222187
342,1860,Farm Laborer,male dominant,0.9570607358624827
344,1860,Farmer,male dominant,0.9257213622106584
345,1860,Fireman,only male,1.0
346,1860,Fisherman,only male,1.0
348,1860,Foremen,male dominant,0.979669887278583
351,1860,Funeral Director,only male,1.0
354,1860,Gardener / Groundskeeper,male dominant,0.8982587568333671
357,1860,Household Worker,female dominant,-0.8877648868151697
361,1860,Inspector,only male,1.0
363,1860,Insurance Agent,only male,1.0
364,1860,Janitor,male dominant,0.778516057585825
365,1860,Jeweler,male dominant,0.965735101599408
367,1860,Laborer,male dominant,0.9555947578261342
368,1860,Laundry / Dry Cleaning,male dominant,0.5004156275976724
369,1860,Lawyer / Judge,male dominant,0.994306374014291
373,1860,Locomotive Engineer,only male,1.0
377,1860,Lumberman,male dominant,0.9881517977593994
378,1860,Machinist,male dominant,0.9793534504841437
379,1860,Mail Carrier,only male,1.0
380,1860,Manager / Owner,male dominant,0.8879656582301694
381,1860,Mason,male dominant,0.994112278842474
383,1860,Meat Cutter,male dominant,0.9887220144045559
384,1860,Mechanic,male dominant,0.9898096960741855
390,1860,Messenger,only male,1.0
391,1860,Metal Filer,male dominant,0.8512518409425626
393,1860,Metal Worker,male dominant,0.9902747386336008
395,1860,Military,only male,1.0
399,1860,Miner,male dominant,0.9891791371608374
400,1860,Model Maker,male dominant,0.9329571855293727
404,1860,Musician / Music Teacher,balanced,0.2598116169544741
405,1860,Newsboy,only male,1.0
406,1860,Nurse,female dominant,-0.9699851411589896
410,1860,Operative,male dominant,0.5440408697277428
414,1860,Painter,male dominant,0.9927422412392353
419,1860,Photographer,male dominant,0.9489144316730523
420,1860,Physician / Surgeon,male dominant,0.9898324550736387
423,1860,Plasterer,male dominant,0.9713241092551438
424,1860,Plumber,only male,1.0
425,1860,Policeman / Detective,male dominant,0.9525729191368272
426,1860,Porter,only male,1.0
429,1860,Pressman,only male,1.0
431,1860,Professional - Misc,only male,1.0
432,1860,Professor,male dominant,0.42938659058487877
447,1860,Public Officials,only male,1.0
450,1860,Railroad Brakeman,only male,1.0
451,1860,Railroad Conductor,only male,1.0
453,1860,Real Estate Agent,only male,1.0
455,1860,Religious Worker,balanced,-0.08105206655931294
458,1860,Roller,only male,1.0
459,1860,Roofer,only male,1.0
460,1860,Sailor,male dominant,0.9911636918741193
461,1860,Salesman,male dominant,0.9461304609136582
462,1860,Sawyer,only male,1.0
470,1860,Security Guard,male dominant,0.9029407038405913
472,1860,Service Worker,female dominant,-0.6666666666666666
474,1860,Sheriff / Bailiff,only male,1.0
475,1860,Ship Officers,only male,1.0
476,1860,Shipping and Receiving,only male,1.0
477,1860,Shoemaker,male dominant,0.9896687312071136
480,1860,Stationary Engineer,male dominant,0.9907695119722172
488,1860,Teacher,balanced,-0.19751502583388986
499,1860,Ticket Agent,only male,1.0
500,1860,Tool Maker,only male,1.0
501,1860,Truck / Tractor Driver,male dominant,0.9936902545982269
502,1860,Typesetter,male dominant,0.9908999908999909
504,1860,Upholsterer,male dominant,0.8450920245398773
507,1860,Waiter / Waitress,male dominant,0.8366353840806395
525,1870,Architect,only male,1.0
526,1870,Artist / Art Teacher,male dominant,0.761972498814604
529,1870,Author,balanced,0.20238095238095238
531,1870,Baker,male dominant,0.9516950852557673
533,1870,Barber / Beautician,male dominant,0.9135101257393552
534,1870,Bartender,only male,1.0
535,1870,Bill Collector,only male,1.0
540,1870,Boilermaker,only male,1.0
542,1870,Bookkeeper,male dominant,0.9248744267307273
548,1870,Cabinet Maker,male dominant,0.9935583612471013
550,1870,Carpenter,male dominant,0.9982872147957419
555,1870,Chemist,only male,1.0
557,1870,Clergyman,male dominant,0.9912813394638674
558,1870,Clerical Worker,male dominant,0.9287676306286843
569,1870,Delivery Man,male dominant,0.9483772041911577
571,1870,Dentist,only male,1.0
572,1870,Designer,only male,1.0
576,1870,Draftsman,only male,1.0
577,1870,Dressmaker / Seamstress,female dominant,-0.9756841505131129
580,1870,Editor / Reporter,male dominant,0.9662959218065386
587,1870,Engineer - Civil,only male,1.0
590,1870,Engineer - Mechanical,only male,1.0
593,1870,Engraver,only male,1.0
594,1870,Entertainer,male dominant,0.7134751773049646
596,1870,Farm Foreman,only male,1.0
597,1870,Farm Laborer,male dominant,0.7318911504170895
599,1870,Farmer,male dominant,0.9708524670758502
600,1870,Fireman,only male,1.0
601,1870,Fisherman,only male,1.0
603,1870,Foremen,male dominant,0.9619282128989488
606,1870,Funeral Director,only male,1.0
609,1870,Gardener / Groundskeeper,male dominant,0.9935790419930653
612,1870,Household Worker,female dominant,-0.8324175447731539
616,1870,Inspector,only male,1.0
618,1870,Insurance Agent,male dominant,0.9075179911192773
619,1870,Janitor,male dominant,0.8179626280892104
620,1870,Jeweler,male dominant,0.9864219936815218
622,1870,Laborer,male dominant,0.9365238108240949
623,1870,Laundry / Dry Cleaning,balanced,0.27045619116582187
624,1870,Lawyer / Judge,only male,1.0
628,1870,Locomotive Engineer,only male,1.0
632,1870,Lumberman,only male,1.0
633,1870,Machinist,only male,1.0
634,1870,Mail Carrier,only male,1.0
635,1870,Manager / Owner,male dominant,0.9289219232017392
636,1870,Mason,male dominant,0.9931861912846632
638,1870,Meat Cutter,male dominant,0.9952362984624092
639,1870,Mechanic,only male,1.0
645,1870,Messenger,male dominant,0.944855290787912
646,1870,Metal Filer,male dominant,0.7991034368255022
648,1870,Metal Worker,male dominant,0.9933421226104153
650,1870,Military,male dominant,0.9933428752121959
654,1870,Miner,male dominant,0.9964853478574588
655,1870,Model Maker,only male,1.0
659,1870,Musician / Music Teacher,balanced,0.15390988464725003
660,1870,Newsboy,male dominant,0.9004479840716775
661,1870,Nurse,female dominant,-0.8729446935724963
665,1870,Operative,male dominant,0.539551855979339
669,1870,Painter,male dominant,0.9930605187319884
674,1870,Photographer,male dominant,0.9162752141475545
675,1870,Physician / Surgeon,male dominant,0.9710900398151553
678,1870,Plasterer,male dominant,0.9898964384945693
679,1870,Plumber,male dominant,0.9845447589900536
680,1870,Policeman / Detective,male dominant,0.9839133551007406
681,1870,Porter,only male,1.0
684,1870,Pressman,only male,1.0
686,1870,Professional - Misc,male dominant,0.9003487792725461
687,1870,Professor,only male,1.0
702,1870,Public Officials,male dominant,0.9867321215337668
705,1870,Railroad Brakeman,only male,1.0
706,1870,Railroad Conductor,only male,1.0
708,1870,Real Estate Agent,only male,1.0
710,1870,Religious Worker,female dominant,-0.8937724073828177
713,1870,Roller,only male,1.0
714,1870,Roofer,only male,1.0
715,1870,Sailor,male dominant,0.9938822097093288
716,1870,Salesman,male dominant,0.8889655886515031
717,1870,Sawyer,only male,1.0
725,1870,Security Guard,only male,1.0
727,1870,Service Worker,female dominant,-0.41184734254273003
729,1870,Sheriff / Bailiff,only male,1.0
730,1870,Ship Officers,only male,1.0
731,1870,Shipping and Receiving,only male,1.0
732,1870,Shoemaker,male dominant,0.9945907702778947
735,1870,Stationary Engineer,only male,1.0
743,1870,Teacher,female dominant,-0.3374846754178752
754,1870,Ticket Agent,male dominant,0.9794976934905176
755,1870,Tool Maker,only male,1.0
756,1870,Truck / Tractor Driver,male dominant,0.9983095829741198
757,1870,Typesetter,male dominant,0.9317313616759089
759,1870,Upholsterer,male dominant,0.8888274336283186
762,1870,Waiter / Waitress,male dominant,0.4225612393347226
780,1880,Architect,only male,1.0
781,1880,Artist / Art Teacher,balanced,0.23563865735526018
784,1880,Author,male dominant,0.7790178571428571
786,1880,Baker,male dominant,0.9523062608002126
788,1880,Barber / Beautician,male dominant,0.8718635496796588
789,1880,Bartender,male dominant,0.9922296903531606
790,1880,Bill Collector,male dominant,0.9472016895459345
795,1880,Boilermaker,only male,1.0
797,1880,Bookkeeper,male dominant,0.911966358899351
803,1880,Cabinet Maker,male dominant,0.9889831442106423
805,1880,Carpenter,male dominant,0.9958847630515668
810,1880,Chemist,only male,1.0
812,1880,Clergyman,male dominant,0.9741199187284753
813,1880,Clerical Worker,male dominant,0.9076762885405217
824,1880,Delivery Man,male dominant,0.9381026438569207
826,1880,Dentist,only male,1.0
827,1880,Designer,only male,1.0
831,1880,Draftsman,only male,1.0
832,1880,Dressmaker / Seamstress,female dominant,-0.9914870749401835
835,1880,Editor / Reporter,male dominant,0.9348109517601043
842,1880,Engineer - Civil,only male,1.0
845,1880,Engineer - Mechanical,only male,1.0
848,1880,Engraver,only male,1.0
849,1880,Entertainer,male dominant,0.8005512402906539
851,1880,Farm Foreman,male dominant,0.9002256204562546
852,1880,Farm Laborer,male dominant,0.7026304417883533
854,1880,Farmer,male dominant,0.958098300074394
855,1880,Fireman,male dominant,0.9878973105134474
856,1880,Fisherman,male dominant,0.9656753194659332
858,1880,Foremen,male dominant,0.9491122249596466
861,1880,Funeral Director,male dominant,0.9663437021927588
864,1880,Gardener / Groundskeeper,male dominant,0.9580413045509766
867,1880,Household Worker,female dominant,-0.6907524324441041
871,1880,Inspector,only male,1.0
873,1880,Insurance Agent,only male,1.0
874,1880,Janitor,male dominant,0.8295218295218295
875,1880,Jeweler,male dominant,0.9475688213926211
877,1880,Laborer,male dominant,0.8432642770800018
878,1880,Laundry / Dry Cleaning,female dominant,-0.42470607183121273
879,1880,Lawyer / Judge,only male,1.0
883,1880,Locomotive Engineer,only male,1.0
887,1880,Lumberman,male dominant,0.9804209495839452
888,1880,Machinist,male dominant,0.9976568879211389
889,1880,Mail Carrier,only male,1.0
890,1880,Manager / Owner,male dominant,0.8932208793786959
891,1880,Mason,male dominant,0.9917131936315893
893,1880,Meat Cutter,male dominant,0.9897186147186147
894,1880,Mechanic,only male,1.0
900,1880,Messenger,male dominant,0.8876126126126126
901,1880,Metal Filer,male dominant,0.9475556726841481
903,1880,Metal Worker,male dominant,0.9853381062129162
905,1880,Military,male dominant,0.9784335573847094
909,1880,Miner,male dominant,0.9992718826566089
910,1880,Model Maker,only male,1.0
914,1880,Musician / Music Teacher,balanced,0.04348584384628801
915,1880,Newsboy,only male,1.0
916,1880,Nurse,female dominant,-0.8424991417782355
920,1880,Operative,male dominant,0.5303045302117234
924,1880,Painter,male dominant,0.9893801539725527
929,1880,Photographer,male dominant,0.8771667399912011
930,1880,Physician / Surgeon,male dominant,0.941871678141329
933,1880,Plasterer,only male,1.0
934,1880,Plumber,only male,1.0
935,1880,Policeman / Detective,only male,1.0
936,1880,Porter,only male,1.0
939,1880,Pressman,only male,1.0
941,1880,Professional - Misc,male dominant,0.6923472008217771
942,1880,Professor,only male,1.0
957,1880,Public Officials,male dominant,0.9381848253049411
960,1880,Railroad Brakeman,only male,1.0
961,1880,Railroad Conductor,male dominant,0.9892694558855408
963,1880,Real Estate Agent,only male,1.0
965,1880,Religious Worker,female dominant,-0.9724502574092111
968,1880,Roller,only male,1.0
969,1880,Roofer,only male,1.0
970,1880,Sailor,male dominant,0.9917426125379729
971,1880,Salesman,male dominant,0.8357047469661532
972,1880,Sawyer,only male,1.0
980,1880,Security Guard,male dominant,0.9826680672268907
982,1880,Service Worker,male dominant,0.540233857496688
984,1880,Sheriff / Bailiff,only male,1.0
985,1880,Ship Officers,only male,1.0
986,1880,Shipping and Receiving,only male,1.0
987,1880,Shoemaker,male dominant,0.9963185644251226
990,1880,Stationary Engineer,male dominant,0.996781150416841
998,1880,Teacher,female dominant,-0.350708274166176
1009,1880,Ticket Agent,male dominant,0.962448825937603
1010,1880,Tool Maker,only male,1.0
1011,1880,Truck / Tractor Driver,male dominant,0.9974809488847819
1012,1880,Typesetter,male dominant,0.9247077403738864
1014,1880,Upholsterer,male dominant,0.8944702406078514
1017,1880,Waiter / Waitress,male dominant,0.5773228346456692
1035,1900,Architect,male dominant,0.9804897083211394
1036,1900,Artist / Art Teacher,balanced,0.12375130460712688
1039,1900,Author,balanced,-0.1578395385422129
1041,1900,Baker,male dominant,0.8895144641947506
1043,1900,Barber / Beautician,male dominant,0.8868114038476397
1044,1900,Bartender,male dominant,0.9890124292798008
1045,1900,Bill Collector,male dominant,0.9812254810386699
1050,1900,Boilermaker,male dominant,0.992991309223437
1052,1900,Bookkeeper,male dominant,0.4654128926686487
1058,1900,Cabinet Maker,male dominant,0.9836278868047273
1060,1900,Carpenter,male dominant,0.9963337028437902
1065,1900,Chemist,male dominant,0.9042654028436019
1067,1900,Clergyman,male dominant,0.9779202604933642
1068,1900,Clerical Worker,male dominant,0.7291062623013269
1079,1900,Delivery Man,male dominant,0.9952379818567109
1081,1900,Dentist,male dominant,0.9550419384902143
1082,1900,Designer,male dominant,0.8422431865828093
1086,1900,Draftsman,male dominant,0.968001273581151
1087,1900,Dressmaker / Seamstress,female dominant,-0.9815787979259221
1090,1900,Editor / Reporter,male dominant,0.824229260543975
1097,1900,Engineer - Civil,only male,1.0
1100,1900,Engineer - Mechanical,male dominant,0.9820380579761693
1103,1900,Engraver,male dominant,0.8986623429266315
1104,1900,Entertainer,male dominant,0.8046172539489672
1106,1900,Farm Foreman,male dominant,0.9514798641436196
1107,1900,Farm Laborer,male dominant,0.7081325593167401
1109,1900,Farmer,male dominant,0.8919252032281345
1110,1900,Fireman,male dominant,0.9951095461658842
1111,1900,Fisherman,male dominant,0.9092376635284698
1113,1900,Foremen,male dominant,0.8604463279638855
1116,1900,Funeral Director,male dominant,0.9673895320397847
1119,1900,Gardener / Groundskeeper,male dominant,0.9680042425313771
1122,1900,Household Worker,female dominant,-0.860694597399465
1126,1900,Inspector,male dominant,0.9335885800718472
1128,1900,Insurance Agent,male dominant,0.9591765476103877
1129,1900,Janitor,male dominant,0.7382824339020521
1130,1900,Jeweler,male dominant,0.9041271175111247
1132,1900,Laborer,male dominant,0.9174492028147141
1133,1900,Laundry / Dry Cleaning,balanced,0.21933551403040444
1134,1900,Lawyer / Judge,male dominant,0.9918429462791052
1138,1900,Locomotive Engineer,male dominant,0.9962022672464539
1142,1900,Lumberman,male dominant,0.9944438311807778
1143,1900,Machinist,male dominant,0.9908677526500163
1144,1900,Mail Carrier,male dominant,0.9778145087235997
1145,1900,Manager / Owner,male dominant,0.870363836275872
1146,1900,Mason,male dominant,0.9932869815391993
1148,1900,Meat Cutter,male dominant,0.9888268156424581
1149,1900,Mechanic,male dominant,0.9818984149855908
1155,1900,Messenger,male dominant,0.8577881354822661
1156,1900,Metal Filer,male dominant,0.9163807469855897
1158,1900,Metal Worker,male dominant,0.9968835336408658
1160,1900,Military,male dominant,0.9969757083504884
1164,1900,Miner,male dominant,0.990430003233107
1165,1900,Model Maker,male dominant,0.9625528738492162
1169,1900,Musician / Music Teacher,balanced,-0.1107777164920022
1170,1900,Newsboy,only male,1.0
1171,1900,Nurse,female dominant,-0.8602599857313604
1175,1900,Operative,male dominant,0.3621850577375275
1179,1900,Painter,male dominant,0.9792611472223607
1184,1900,Photographer,male dominant,0.7710202590231822
1185,1900,Physician / Surgeon,male dominant,0.9084022822217527
1188,1900,Plasterer,male dominant,0.989970310122003
1189,1900,Plumber,male dominant,0.9955339870220316
1190,1900,Policeman / Detective,male dominant,0.9904533472654302
1191,1900,Porter,male dominant,0.9889499732660644
1194,1900,Pressman,male dominant,0.9211577499836291
1196,1900,Professional - Misc,male dominant,0.6547296075239646
1197,1900,Professor,male dominant,0.749727965179543
1212,1900,Public Officials,male dominant,0.9145867702623597
1215,1900,Railroad Brakeman,male dominant,0.9971893137709572
1216,1900,Railroad Conductor,male dominant,0.9963522103438313
1218,1900,Real Estate Agent,male dominant,0.9499769069527836
1220,1900,Religious Worker,female dominant,-0.7550980069181354
1223,1900,Roller,only male,1.0
1224,1900,Roofer,only male,1.0
1225,1900,Sailor,male dominant,0.9802814692853503
1226,1900,Salesman,male dominant,0.6086861255838936
1227,1900,Sawyer,male dominant,0.9799950236377208
1235,1900,Security Guard,male dominant,0.9701728655471878
1237,1900,Service Worker,female dominant,-0.4108637178720861
1239,1900,Sheriff / Bailiff,only male,1.0
1240,1900,Ship Officers,male dominant,0.9773179616207893
1241,1900,Shipping and Receiving,male dominant,0.9426923676417104
1242,1900,Shoemaker,male dominant,0.9002756339581036
1245,1900,Stationary Engineer,male dominant,0.997425374085498
1253,1900,Teacher,female dominant,-0.4914512055526282
1264,1900,Ticket Agent,male dominant,0.9780321361572551
1265,1900,Tool Maker,only male,1.0
1266,1900,Truck / Tractor Driver,male dominant,0.9921996951289294
1267,1900,Typesetter,male dominant,0.7889402651469911
1269,1900,Upholsterer,male dominant,0.923983778175988
1272,1900,Waiter / Waitress,balanced,0.18621502098974355
1290,1910,Architect,only male,1.0
1291,1910,Artist / Art Teacher,balanced,0.12676135092820398
1294,1910,Author,balanced,0.25
1296,1910,Baker,male dominant,0.8644633437399074
1298,1910,Barber / Beautician,male dominant,0.7984839201348977
1299,1910,Bartender,male dominant,0.9954425434947733
1300,1910,Bill Collector,male dominant,0.878751428399591
1305,1910,Boilermaker,male dominant,0.9874173012108352
1307,1910,Bookkeeper,balanced,0.2147190883661399
1313,1910,Cabinet Maker,male dominant,0.9514953203570483
1315,1910,Carpenter,male dominant,0.9938516362482533
1320,1910,Chemist,male dominant,0.9672024468015878
1322,1910,Clergyman,male dominant,0.9637091287469484
1323,1910,Clerical Worker,male dominant,0.6253938316456674
1334,1910,Delivery Man,male dominant,0.9771329013992487
1336,1910,Dentist,male dominant,0.9644853666557054
1337,1910,Designer,male dominant,0.4147947327652982
1341,1910,Draftsman,male dominant,0.9848421052631579
1342,1910,Dressmaker / Seamstress,female dominant,-0.9790124788017214
1345,1910,Editor / Reporter,male dominant,0.7987205848754855
1352,1910,Engineer - Civil,male dominant,0.9482379081202296
1355,1910,Engineer - Mechanical,only male,1.0
1358,1910,Engraver,male dominant,0.9629411764705882
1359,1910,Entertainer,male dominant,0.977517062943302
1361,1910,Farm Foreman,male dominant,0.7991263347663292
1362,1910,Farm Laborer,male dominant,0.5103393251212301
1364,1910,Farmer,male dominant,0.9067062855812537
1365,1910,Fireman,male dominant,0.9964009511771889
1366,1910,Fisherman,only male,1.0
1368,1910,Foremen,male dominant,0.8617790619294567
1371,1910,Funeral Director,male dominant,0.8571833702002155
1374,1910,Gardener / Groundskeeper,male dominant,0.8886030150753769
1377,1910,Household Worker,female dominant,-0.7520836729571466
1381,1910,Inspector,male dominant,0.9495137844611529
1383,1910,Insurance Agent,male dominant,0.9222871827818824
1384,1910,Janitor,male dominant,0.6755321495046798
1385,1910,Jeweler,male dominant,0.928538513345858
1387,1910,Laborer,male dominant,0.9323121437686908
1388,1910,Laundry / Dry Cleaning,balanced,-0.2879143507813659
1389,1910,Lawyer / Judge,male dominant,0.9776066930710694
